seller_id,seller_city,total_outcome,Rolling_Total
4aba391bc3b88717ce08eb11e44937b2,arraial d'ajuda (porto seguro),7595.87,7595.87
c794dab4928dd97beb41d05514441e86,artur nogueira,1312.4,1312.4
d65f31d2413268e671989503f6cf9993,artur nogueira,488.8,1801.2
f19516b9ff26bfeb091b30108db4ddbd,artur nogueira,727.6,2528.8
0b3f27369a4d8df98f7eb91077e438ac,aruja,146.51,146.51
3092c0b297aacfb4bb6e056ebe13b9b8,aruja,1623.9,1770.41
ac6417315ae5da8f9a38ee11de6f7780,aruja,788.9,2559.31
f0837c8d71434931d9e38e7b79234797,arvorezinha,3446.9,3446.9
1336efc61c316ddf92c899eb817f7cae,assis,4837.31,4837.31
1976a05ecf2996d6ffb7b5430e635fe7,assis,1796.2,6633.51
4bf2f4ee540798a61f9636d12cd9cc80,assis,4995.56,11629.070000000002
5ab05b6d86d417796c69ffd6774ec832,assis,1886.1,13515.17
5d3bb11474a06bdc23fb9e89f1164ee0,assis,3654.6,17169.77
8bb48dc19fccaa8613b6229bf7f452a2,assis,4190.72,21360.49
bccf933e006e9b94a6184af782963e77,assis,4162.74,25523.23
c447f8dd3ed213f291d65ef074a268eb,assis,655,26178.23
128f9bfbe4c7d5185033914b1de3d39a,atibaia,1277.29,1277.29
16090f2ca825584b5a147ab24aa30c86,atibaia,25716.44,26993.73
4c60877808f4318ef1107fbeb8f89afa,atibaia,118,27111.73
5d0363b33554b373851fc1622e4d5f3c,atibaia,6610.79,33722.52
850913d59ce317156b00f3705f1c3edb,atibaia,2690,36412.52
bbaff50f3b708fda865918715276cd87,atibaia,449.7,36862.22
c611f4ce9ce875bcc063fa97fd4d7d12,atibaia,319,37181.22
d2f3e277560ed4c6361284429b00f037,atibaia,320.55,37501.77
d4ffeb15b67e81ff9af2b4252d99fb7e,atibaia,1400.4,38902.17
d7ab82074b5f1dfba46db123df101bff,atibaia,38.67,38940.84
f615fe7efbef0f4f08fd3086bc7a3e60,atibaia,2359.27,41300.11
3076499bbc033a927bf4a8a41bcf7fd4,auriflama,359.33,359.33
c3aad7dc65449ae90a5e9c3c6c1e78e0,auriflama/sp,510,510
cad10cc982ab6a391570c211b995c17c,avare,47.4,47.4
cb5df0dcb9e280b1780e9d589889f2c7,bady bassitt,2934.72,2934.72
d9cd369bffa979d1634f8e1318bf2f1b,bady bassitt,678,3612.72
ce7d1888639e6fb06b2749cbfdac1ff7,baependi,11793.89,11793.89
d94a40fd42351c259927028d163af842,baependi,13823.8,25617.69
4b90495391ac0bd181a80a459df1e718,bage,248,248
4221a7df464f1fe2955934e30ff3a5a1,bahia,849.5,849.5
5e49e3a44bdeb5aab2684258bbd4f525,balenario camboriu,507,507
29fe9f200d3fa0c668d2aa1ec7e08dfb,balneario camboriu,400,400
661ad5fcc28cdfb8bcadb12bb2272475,balneario camboriu,209.93,609.9300000000001
822bad9bc42b51213ba522fe87b7ab5d,balneario camboriu,5160,5769.93
228e4c1a0be164f613d41c24345f9d2c,bandeirantes,539.7,539.7
3ea08c48e851106d2f584349daba335f,barbacena,170,170
fe9d9cf8631285d5982c6e2cf27fb114,barbacena/ minas gerais,69.9,69.9
17306570e772e7718c92a562d33f5f1d,bariri,9669.8,9669.8
f235413f677777a0738ff215d0184901,bariri,1696.7,11366.5
48fb026ed7455a42f5d3e9390ed5088e,barra mansa,555.71,555.71
85cc55e048b6bcc90c75afe7f0e72f72,barra mansa,308.28,863.99
91f5779a8731baca4809fdeade81803f,barra mansa,1971.46,2835.45
a2b911e9ad40dc7d61c142a4683e2d85,barra mansa,85.9,2921.35
7d294cf9a6a69dc6a0c3e540fff0e039,barra velha,257.25,257.25
39a5005f2605cbdb4f9ac14485cabfd1,barretos,501.07,501.07
700f03c207639c22d933381ff60b35c2,barretos,1189.86,1690.9299999999998
a7c53f6b3b61adbdaa99dda97e8cbd56,barretos,99,1789.9299999999998
dd533b429f380718b70ad9922c294bae,barretos,2819.77,4609.7
1d139e3a3b14025640d8df1b230aace0,barrinha,36.49,36.49
43753b27d77860f1654aa72e251a7878,barro alto,23.9,23.9
05ca864204d09595ae591b93ea9cf93d,barueri,179.9,179.9
0873d9f8f36123f8d910f4760e788cfb,barueri,7265.59,7445.49
2c3d56f92f360fb89d849b84e8f50eae,barueri,465.6,7911.09
2f9b7ce230a057a98a9f5df5893ee36c,barueri,141.82,8052.91
3be5841cdcc46de4ed3f9116f104b2c5,barueri,599.6,8652.51
525e75a6fb1454a2325ab1734bcec221,barueri,657.07,9309.58
70126eecc6aa1274392a1743866e9678,barueri,97.4,9406.98
7e93a43ef30c4f03f38b393420bc753a,barueri,176431.87,185838.85
8f119a0aee85c0c8fc534629734e94fd,barueri,3733.68,189572.53
a36ac007a4d18f865c8d32c3b2402c2d,barueri,1359.78,190932.31
cb162c8eef257253782d245c08d9097c,barueri,34.99,190967.3
e83e93b71371817b11d78a63ff156aee,barueri,286,191253.3
f6122bc84774df1b372bdb3bb88ddb9f,barueri,4799.87,196053.16999999998
10076e5788b8ee532724bcd460baf762,batatais,821.48,821.48
6a0cbc8af2e8abd1bdfb777943d174c6,batatais,3894.05,4715.530000000001
a99504ac23ed125aaf5302af6cc30af9,batatais,978,5693.530000000001
15b3b1b81484422eb41df68ac87f1f50,bauru,78.35,78.35
3968920b9aa752ab98f7d5888c9252f2,bauru,523.3,601.65
55bb6fe5bebe5012e2d7d9928e1128ff,bauru,1816.55,2418.2
78a4d36f65a019172c6154468831a69f,bauru,1545.5,3963.7
79ee721b6f766066a80264402548d359,bauru,538,4501.7
7ade73f1b9b4e965f9009a4c3a7e2c15,bauru,1880.3,6382
7bb8fac2913a6064ec412e583c6d8b4d,bauru,109,6491
817245bcc3badd82bbd222e0366951a6,bauru,5580.5,12071.5
939f6e231201f26803cb5c3a3d2940b3,bauru,130.6,12202.1
afac9f6b0c4e5f0a7ee87e922cd0f873,bauru,20.99,12223.09
bd1d49a326abfa9b1036772e40445430,bauru,637.7,12860.789999999999
e5e33c0d8e7e002f398f5dc4cbbb338f,bauru,6698.7,19559.489999999998
e9511df20ccd82658a30c37b7fb343af,bauru,2096.6,21656.09
eec3469d83e142f9a104886655338c37,bauru,185.7,21841.79
6a8b085f816a1f75f92dbac6eb545f8f,bebedouro,6018.97,6018.97
9a208dee8f95cfdf00760c4d627828ec,belford roxo,269.9,269.9
d7f1cfc638473be93baedbfd02208016,belford roxo,30,299.9
880ce4951cf857ab1d9e0b75c1d856f4,belo horizont,178.9,178.9
00d8b143d12632bad99c0ad66ad52825,belo horizonte,86,86
0509040ea3fe50071181bbc359eb7738,belo horizonte,3737.95,3823.95
05f51e13da97139648b8125c31e5f51b,belo horizonte,13769.01,17592.96
06bb3a2fe5e7b7a845b13e8fb91bd944,belo horizonte,1536.19,19129.15
