product_id,revenue,freight_price
bb50f2e236e5eea0100680137654686c,63885,3721.1
6cdd53843498f92890544667809f1595,54730.2,4363.79
d6160fb7873f184099d9bc95e30376af,48899.34,1426.84
d1c427060a0f73f6b889a5c7c61f2ac4,47214.51,13761.52
99a4788cb24856965c36a24e339b6058,43025.56,8046.04
3dd2a17168ec895c781a9191c1e95ad7,41082.6,7129.62
25c38557cf793876c5abdd5931f922db,38907.32,1404.63
5f504b3a1c75b73d6151be81eb05bdc9,37733.9,3991.91
53b36df67ebb7c41585e8d54d6772e08,37683.42,2274.51
aca2eb7d00ea1a7b8ebd4e68314663af,37608.9,7211.86
