Status,Category,location,percentage_per_category
canceled,cool_stuff,curvelo,0.18214936247723132
canceled,cool_stuff,goiania,0.36429872495446264
canceled,cool_stuff,guarulhos,0.18214936247723132
canceled,cool_stuff,ibira,0.18214936247723132
canceled,cool_stuff,nilopolis,0.18214936247723132
canceled,cool_stuff,novo hamburgo,0.18214936247723132
canceled,cool_stuff,porto seguro,0.18214936247723132
canceled,cool_stuff,rio de janeiro,0.36429872495446264
canceled,cool_stuff,salvador,0.18214936247723132
canceled,cool_stuff,sao paulo,0.18214936247723132
canceled,cool_stuff,taboao da serra,0.18214936247723132
canceled,cool_stuff,vacaria,0.18214936247723132
canceled,dvds_blu_ray,itu,0.18214936247723132
canceled,dvds_blu_ray,sao vicente,0.18214936247723132
canceled,eletrodomesticos,sao paulo,0.36429872495446264
canceled,eletrodomesticos_2,belo horizonte,0.18214936247723132
canceled,eletrodomesticos_2,curitiba,0.18214936247723132
canceled,eletrodomesticos_2,salvador,0.18214936247723132
canceled,eletronicos,belo horizonte,0.18214936247723132
canceled,eletronicos,blumenau,0.18214936247723132
canceled,eletronicos,paranagua,0.9107468123861566
canceled,eletronicos,sao bernardo do campo,0.18214936247723132
canceled,eletronicos,sao paulo,0.546448087431694
unavailable,eletronicos,vargem grande paulista,0.18214936247723132
canceled,eletroportateis,goiania,0.18214936247723132
canceled,eletroportateis,guarulhos,0.36429872495446264
canceled,eletroportateis,jacarei,0.18214936247723132
canceled,eletroportateis,pocos de caldas,0.18214936247723132
canceled,eletroportateis,sao paulo,0.546448087431694
canceled,esporte_lazer,belo horizonte,0.36429872495446264
canceled,esporte_lazer,brasilia,0.36429872495446264
canceled,esporte_lazer,caxias do sul,0.18214936247723132
canceled,esporte_lazer,dumont,0.18214936247723132
canceled,esporte_lazer,francisco beltrao,0.18214936247723132
canceled,esporte_lazer,guanambi,0.18214936247723132
canceled,esporte_lazer,guarulhos,0.36429872495446264
canceled,esporte_lazer,indaiatuba,0.18214936247723132
canceled,esporte_lazer,itajai,0.36429872495446264
canceled,esporte_lazer,itaquaquecetuba,0.18214936247723132
canceled,esporte_lazer,joao pessoa,0.36429872495446264
canceled,esporte_lazer,maringa,0.18214936247723132
canceled,esporte_lazer,nhandeara,0.18214936247723132
canceled,esporte_lazer,niteroi,0.18214936247723132
canceled,esporte_lazer,osasco,0.18214936247723132
canceled,esporte_lazer,pecanha,0.18214936247723132
canceled,esporte_lazer,piratininga,0.18214936247723132
canceled,esporte_lazer,presidente dutra,0.18214936247723132
canceled,esporte_lazer,promissao,0.18214936247723132
canceled,esporte_lazer,quissama,0.18214936247723132
canceled,esporte_lazer,recife,0.18214936247723132
canceled,esporte_lazer,rio de janeiro,0.36429872495446264
canceled,esporte_lazer,sao jose do rio preto,0.18214936247723132
canceled,esporte_lazer,sao paulo,3.096539162112933
canceled,esporte_lazer,sertaozinho,0.18214936247723132
canceled,esporte_lazer,sorocaba,0.18214936247723132
canceled,esporte_lazer,vargem alegre,0.18214936247723132
canceled,esporte_lazer,vila velha,0.18214936247723132
canceled,esporte_lazer,vilhena,0.18214936247723132
canceled,fashion_bolsas_e_acessorios,brasilia,0.18214936247723132
canceled,fashion_bolsas_e_acessorios,campinas,0.18214936247723132
canceled,fashion_bolsas_e_acessorios,candeias,0.18214936247723132
canceled,fashion_bolsas_e_acessorios,florianopolis,0.18214936247723132
